HeaderURI,WellName,APINo,Label,OtherID,Operator,MineralOwner,LeaseName,SpudDate,EndedDrillingDate,welltype,Status,CommodityOfInterest,StatusDate,ProducingInterval,County,State,Field,OtherLocationName,PLSS_Meridians,Township,Range,Section,SectionPart,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,DrillerTotalDepth,DepthReferencePoint,LengthUnits,WellBoreShape,TrueVerticalDepth,ElevationKB,ElevationDF,ElevationGL,FormationTD,BitDiameterCollar,DiameterUnits,Notes,CasingBottomDepthDriller,CasingTopDepth,CasingPipeDiameter,CasingWeight,CasingWeightUnits,InformationSource,Shape
https://geothermal.smu.edu/header/431adf66-a5ca-3e7f-847a-0dfb80c43f76,CA-00673,,CA-00673,SMU: CA-00673 ,,,,,,,,,,,Lassen County,California,,BASIN AND RANGE; ALTURAS AMS; SMU: CA-00673| BR-2,,38N,9E,21BC,,41.1198604,-120.9510615,WGS84,,60.0,,m,,,,,1317.1,,,inches,BeiberCA(AMAX-3);Datatakenfromloosesheetsinfolder || 2015 NREL Cascades HF used 250 || 2020 updated drill depth ;  ,,,,,lbs/ft,SMU HF,0101000020E610000005BF0D31DE3C5EC0F10AE995578F4440
https://geothermal.smu.edu/header/43a8b66d-869b-36ba-9ef1-ba24a3481e42,CA-01048,,CA-01048,SMU: CA-01048 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-01048| OXY-FH20,,13N,9W,11acd,,38.991375,-122.8247786,WGS84,,61.0,,m,,,,,414.0,,,inches,SMU REF M-89 ; water_table_depth: 13,,,,,lbs/ft,SMU HF,0101000020E6100000345C2E2CC9B45EC037894160E57E4340
https://geothermal.smu.edu/header/43eebe64-af4b-3e9a-a5d1-fae37b97ec02,CA-00598,,CA-00598,SMU: CA-00598 ,,,,,,,,,,,Napa County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-00598| AMAX-L63,,10N,7W,35,,38.6688828,-122.5997679,WGS84,,98.0,,m,,,,,536.0,,,inches,SMU REF M-91 ;  ,,,,,lbs/ft,SMU HF,0101000020E610000033ECE69862A65EC0AF6D9BF39D554340
https://geothermal.smu.edu/header/43f74e67-8d9a-392e-b005-76c6626ceaa9,CA-00087,,CA-00087,SMU: CA-00087 ,,,,,,,,,,,San Diego County,California,,SALINIA-W. OF SAN ANDREAS; SAN DIEGO AMS; SMU: CA-00087| EL-CN LO,,,,,,32.6833692,-116.3675341,WGS84,,,,m,,,,,,,,inches,UND Data Record: US 620. THIS IS THE EL CENTRO LO SITE IN HENYEYs THESIS ;  ,,,,,lbs/ft,SMU HF,0101000020E61000008CEABEAD85175DC0FE8B56A478574040
https://geothermal.smu.edu/header/441dd726-9ff9-3cfa-ba4d-a1a097275a95,CA-00916,,CA-00916,SMU: CA-00916 ,,,,,,,,,,,Lake County,California,,FRANCISCAN-E. OF SAN ANDREAS; SANTA ROSA AMS; SMU: CA-00916| Gey61,,,,,,38.8536789,-122.6613723,WGS84,,152.5,,m,,,,,,,,inches,SMU REF M-96 ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000BDBE7BEC53AA5EC08364A659456D4340
https://geothermal.smu.edu/header/443f2f54-37b7-3a19-81e8-62eee32800da,CA-00046,,CA-00046,SMU: CA-00046 ,,,,,,,,,,,San Bernardino County,California,,BASIN AND RANGE; NEEDLES AMS CALIFORNIA & ARIZONA; SMU: CA-00046| CHEMEHUE,,6N,23E,8DBD,,34.6233305,-114.5975055,WGS84,,500.0,,m,,,,,713.0,,,inches,UND Data Record: US 427. ;  ,,,,,lbs/ft,SMU HF,0101000020E6100000876BB5873DA65CC0B70C384BC94F4140
https://geothermal.smu.edu/header/44560bfe-c094-36dc-a05b-19bc945c3b2a,CA-00468,,CA-00468,SMU: CA-00468 ,,,,,,,,,,,Inyo County,California,,BASIN AND RANGE; MARIPOSA AMS CALIFORNIA; SMU: CA-00468| THW,,7S,31E,15AAC,,37.3449422,-118.5542424,WGS84,,,,m,,,,,1760.0,,,inches,UND Data Record: US 313. LONG VALLEY THIS IS THE TUNGSTEN HILLS WEST WELL ;  ,,,,,lbs/ft,SMU HF,0101000020E61000009F831DB578A35DC05101E61027AC4240
https://geothermal.smu.edu/header/447e2828-c79e-320b-808b-0ac9bc406049,CA-00770,,CA-00770,SMU: CA-00770 ,,,,,,,,,,,Imperial County,California,,BASIN AND RANGE; SALTON SEA AMS; SMU: CA-00770| D7,,,,,,33.1820605,-115.613219,WGS84,,,,m,,,,,,,,inches, ;  ,,,,,lbs/ft,SMU HF,0101000020E61000004B92E7FA3EE75CC05BB22AC24D974040
https://geothermal.smu.edu/header/44e77a96-691c-3609-a835-a7e75fd30778,CA-00355,,CA-00355,SMU: CA-00355 ,,,,,,,,,,,San Bernardino County,California,,SIERRA NEVADA MTNS.; TRONA AMS CALIFORNIA; SMU: CA-00355| RNDBRG FREMONT / FPK,,31S,41E,12BBB,,35.2582949,-117.5391908,WGS84,,102.0,,m,,,,,936.0,,,inches,UND Data Record: US 402. ;  ,,,,,lbs/ft,SMU HF,0101000020E61000007613211A82625DC09F1CAACE0FA14140
https://geothermal.smu.edu/header/4596bcbc-4c52-334b-8840-57fe0dab32cf,CA-00108,,CA-00108,SMU: CA-00108 ,,,,,,,,,,,Imperial County,California,,BASIN AND RANGE; SALTON SEA AMS; SMU: CA-00108| GLAMIS 9,,13S,16E,5BAB,,33.0733652,-115.3458109,WGS84,,154.0,,m,,,,,1.0,,,inches,UND Data Record: US 528. GLAMIS AND E. BRAWLEY GEOTHERMAL AREAS ;  ,,,,,lbs/ft,SMU HF,0101000020E61000006C860AC421D65CC00E55E70764894040
